X Coordinate, Y Coordinate, Z Coordinate
1675.5763,264.5996,-76.2000,
1675.5763,264.5996,-76.2000,
1634.9650,223.9989,-5.8716,
1675.8351,264.4836,-76.2000,
1634.9650,223.9989,-5.8716,
1635.2078,223.9288,-5.9189,
1675.8351,264.4836,-76.2000,
1635.2078,223.9288,-5.9189,
1635.4565,223.8644,-5.9693,
1675.8351,264.4836,-76.2000,
1675.8351,264.4836,-76.2000,
1635.4565,223.8644,-5.9693,
1676.0979,264.3739,-76.2000,
1635.4565,223.8644,-5.9693,
1635.5634,223.8389,-5.9916,
1676.0979,264.3739,-76.2000,
1676.0979,264.3739,-76.2000,
1635.5634,223.8389,-5.9916,
1676.3644,264.2706,-76.2000,
1635.5634,223.8389,-5.9916,
1635.7113,223.8058,-6.0229,
1676.3644,264.2706,-76.2000,
1635.7113,223.8058,-6.0229,
1635.9722,223.7531,-6.0799,
1676.3644,264.2706,-76.2000,
1676.3644,264.2706,-76.2000,
1635.9722,223.7531,-6.0799,
1676.6346,264.1738,-76.2000,
1635.9722,223.7531,-6.0799,
1636.1777,223.7165,-6.1261,
1676.6346,264.1738,-76.2000,
1676.6346,264.1738,-76.2000,
1636.1777,223.7165,-6.1261,
1676.9084,264.0835,-76.2000,
1636.1777,223.7165,-6.1261,
1636.2391,223.7065,-6.1401,
1676.9084,264.0835,-76.2000,
1636.2391,223.7065,-6.1401,
1636.5126,223.6660,-6.2038,
1676.9084,264.0835,-76.2000,
1636.5126,223.6660,-6.2038,
1636.7922,223.6319,-6.2710,
1676.9084,264.0835,-76.2000,
1676.9084,264.0835,-76.2000,
1636.7922,223.6319,-6.2710,
1677.1857,263.9996,-76.2000,
1636.7922,223.6319,-6.2710,
1636.8156,223.6294,-6.2767,
1677.1857,263.9996,-76.2000,
1677.1857,263.9996,-76.2000,
1636.8156,223.6294,-6.2767,
1677.4662,263.9224,-76.2000,
1636.8156,223.6294,-6.2767,
1637.0784,223.6043,-6.3417,
1677.4662,263.9224,-76.2000,
1637.0784,223.6043,-6.3417,
1637.3712,223.5833,-6.4161,
1677.4662,263.9224,-76.2000,
1677.4662,263.9224,-76.2000,
1637.3712,223.5833,-6.4161,
1677.7499,263.8518,-76.2000,
1637.3712,223.5833,-6.4161,
1637.4761,223.5775,-6.4432,
1677.7499,263.8518,-76.2000,
1677.7499,263.8518,-76.2000,
1637.4761,223.5775,-6.4432,
1678.0366,263.7878,-76.2000,
1637.4761,223.5775,-6.4432,
1637.6708,223.5692,-6.4941,
1678.0366,263.7878,-76.2000,
1637.6708,223.5692,-6.4941,
1637.9772,223.5620,-6.5759,
1678.0366,263.7878,-76.2000,
1678.0366,263.7878,-76.2000,
1637.9772,223.5620,-6.5759,
1678.3262,263.7304,-76.2000,
1637.9772,223.5620,-6.5759,
1638.1575,223.5612,-6.6251,
1678.3262,263.7304,-76.2000,
1678.3262,263.7304,-76.2000,
1638.1575,223.5612,-6.6251,
1678.6185,263.6797,-76.2000,
1640.3278,223.7266,-7.2638,
1641.0681,223.8498,-7.5000,
1680.7322,263.5138,-76.2000,
1638.1575,223.5612,-6.6251,
1638.2904,223.5621,-6.6616,
1678.6185,263.6797,-76.2000,
1638.2904,223.5621,-6.6616,
1638.6106,223.5695,-6.7513,
1678.6185,263.6797,-76.2000,
1678.6185,263.6797,-76.2000,
1638.6106,223.5695,-6.7513,
1678.9136,263.6357,-76.2000,
1638.6106,223.5695,-6.7513,
1638.8585,223.5803,-6.8220,
1678.9136,263.6357,-76.2000,
1678.9136,263.6357,-76.2000,
1638.8585,223.5803,-6.8220,
1679.2113,263.5985,-76.2000,
1638.8585,223.5803,-6.8220,
1638.9380,223.5846,-6.8449,
1679.2113,263.5985,-76.2000,
1679.2113,263.5985,-76.2000,
1638.9380,223.5846,-6.8449,
1679.5112,263.5681,-76.2000,
1638.9380,223.5846,-6.8449,
1639.5785,223.6349,-7.0338,
1679.5112,263.5681,-76.2000,
1679.5112,263.5681,-76.2000,
1639.5785,223.6349,-7.0338,
1679.8134,263.5443,-76.2000,
1639.5785,223.6349,-7.0338,
1639.6179,223.6389,-7.0457,
1679.8134,263.5443,-76.2000,
1679.8134,263.5443,-76.2000,
1639.6179,223.6389,-7.0457,
1680.1177,263.5274,-76.2000,
1639.6179,223.6389,-7.0457,
1640.3278,223.7266,-7.2638,
1680.1177,263.5274,-76.2000,
1680.1177,263.5274,-76.2000,
1640.3278,223.7266,-7.2638,
1680.4240,263.5172,-76.2000,
1640.3278,223.7266,-7.2638,
1680.7322,263.5138,-76.2000,
1680.4240,263.5172,-76.2000,
1639.5785,223.6349,-7.0338,
1638.9380,223.5846,-6.8449,
1638.8943,223.2527,-6.3500,
1638.8585,223.5803,-6.8220,
1638.6106,223.5695,-6.7513,
1638.5596,223.2376,-6.2625,
1638.1575,223.5612,-6.6251,
1637.9772,223.5620,-6.5759,
1637.9114,223.2308,-6.0987,
1637.4761,223.5775,-6.4432,
1637.3712,223.5833,-6.4161,
1637.2908,223.2538,-5.9494,
1636.8156,223.6294,-6.2767,
1636.7922,223.6319,-6.2710,
1636.6971,223.3051,-5.8140,
1636.1777,223.7165,-6.1261,
1635.9722,223.7531,-6.0799,
1635.8556,223.4320,-5.6357,
1635.5634,223.8389,-5.9916,
1635.4565,223.8644,-5.9693,
1635.3259,223.5481,-5.5326,
1634.4091,224.1884,-5.7715,
1634.2709,224.2422,-5.7484,
1634.1063,223.9413,-5.3266,
1633.8713,224.4148,-5.6863,
1633.8362,224.4313,-5.6812,
1633.6586,224.1376,-5.2640,
1629.3579,234.3551,-6.7421,
1629.6869,234.3694,-7.2643,
1629.8098,235.1082,-7.5000,
1617.4642,233.8369,-0.0127,
1618.0798,233.8638,-0.0508,
1618.0747,235.1082,-0.0526,
1616.8195,235.1082,0.0000,
1616.8475,233.8101,0.0000,
1617.4476,235.1082,-0.0132,
1616.8475,233.8101,0.0000,
1617.4642,233.8369,-0.0127,
1617.4476,235.1082,-0.0132,
1617.4476,235.1082,-0.0132,
1617.4642,233.8369,-0.0127,
1617.4738,235.1082,-0.0143,
1617.4642,233.8369,-0.0127,
1618.0747,235.1082,-0.0526,
1617.4738,235.1082,-0.0143,
1618.6932,233.8905,-0.1142,
1619.3036,233.9171,-0.2028,
1619.3210,235.1082,-0.2101,
1619.3210,235.1082,-0.2101,
1618.7773,235.1082,-0.1283,
1618.6932,233.8905,-0.1142,
1618.7773,235.1082,-0.1283,
1618.6995,235.1082,-0.1183,
1618.6932,233.8905,-0.1142,
1618.6932,233.8905,-0.1142,
1618.6995,235.1082,-0.1183,
1618.0798,233.8638,-0.0508,
1618.6995,235.1082,-0.1183,
1618.1267,235.1082,-0.0571,
1618.0798,233.8638,-0.0508,
1618.0798,233.8638,-0.0508,
1618.1267,235.1082,-0.0571,
1618.0747,235.1082,-0.0526,
1619.9098,233.9435,-0.3165,
1620.5109,233.9697,-0.4551,
1620.5498,235.1082,-0.4713,
1620.5498,235.1082,-0.4713,
1620.0660,235.1082,-0.3556,
1619.9098,233.9435,-0.3165,
1620.0660,235.1082,-0.3556,
1619.9381,235.1082,-0.3278,
1619.9098,233.9435,-0.3165,
1619.9098,233.9435,-0.3165,
1619.9381,235.1082,-0.3278,
1619.3036,233.9171,-0.2028,
1619.9381,235.1082,-0.3278,
1619.4242,235.1082,-0.2279,
1619.3036,233.9171,-0.2028,
1619.3036,233.9171,-0.2028,
1619.4242,235.1082,-0.2279,
1619.3210,235.1082,-0.2101,
1621.1056,233.9956,-0.6183,
1621.6932,234.0212,-0.8058,
1621.7524,235.1082,-0.8344,
1621.7524,235.1082,-0.8344,
